credit.policy,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,purpose_all_other,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_major_purchase,purpose_small_business
1,0.1322,676.02,11.40756495,18.03,812,3929.958333,32422,95.6,1,0,0,0,0,1,0,0,0,0
1,0.0859,173.86,10.65282601,12.11,782,2280.0,39,0.3,0,0,0,1,0,0,0,0,0,0
1,0.1287,622.22,11.88448902,1.62,712,4080.0,25063,53.3,0,0,0,0,0,1,0,0,0,0
1,0.0859,63.23,12.14421852,8.55,722,4979.958333,26702,75.0,0,0,0,1,0,0,0,0,0,0
1,0.1253,411.64,10.34817337,22.12,702,2280.0,14537,77.3,0,0,0,0,0,1,0,0,0,0
1,0.1218,499.5,10.858999,8.88,747,11129.95833,9184,50.5,0,0,0,0,0,1,0,0,0,0
1,0.1635,229.64,9.99149843,8.74,677,1259.958333,6467,82.9,3,0,0,1,0,0,0,0,0,0
1,0.1148,652.78,11.66134547,1.29,767,5970.0,4110,34.5,0,0,0,0,0,1,0,0,0,0
1,0.1322,676.02,11.35040654,16.63,707,4529.958333,25299,58.2,2,0,0,0,0,1,0,0,0,0
1,0.0774,312.19,10.77895629,2.38,797,5400.0,4650,14.1,0,0,0,0,0,1,0,0,0,0
1,0.1183,662.68,10.81985828,21.48,737,3960.0,32556,82.0,0,0,0,0,1,0,0,0,0,0
1,0.1253,200.8,11.73606902,11.11,687,5190.0,19058,41.8,0,0,0,1,0,0,0,0,0,0
1,0.1183,662.68,11.40756495,14.55,737,6119.958333,24839,81.2,0,0,0,0,1,0,0,0,0,0
1,0.1357,271.75,11.1844214,14.28,682,4740.0,8180,88.1,1,0,0,0,1,0,0,0,0,0
1,0.1531,409.08,10.81985828,22.51,667,3878.958333,32470,87.5,3,0,0,0,0,1,0,0,0,0
1,0.0894,508.35,11.73606902,13.16,772,7320.0,78059,28.3,0,0,0,0,1,0,0,0,0,0
1,0.1183,497.01,10.34817337,13.04,727,6359.958333,16566,43.0,0,0,0,0,1,0,0,0,0,0
1,0.0774,218.54,10.76848499,17.81,752,4770.0,7125,34.4,1,0,0,0,0,1,0,0,0,0
