credit.policy,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,purpose_all_other,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_major_purchase,purpose_small_business
1,0.1260459464758865,376.4551172715303,10.96354035963333,18.68972928196836,717,3570.815294617747,14865,83.78648768461295,0,0,0,0,0,0,0,0,0,0
1,0.1189,278.58,11.98292909,10.78,702,6990.0,62083,43.8,0,0,0,1,0,0,0,0,0,0
1,0.1298565989718666,747.1622931342532,10.839281752397913,11.494818090823086,703,1827.0447623423286,6146,13.181905522680845,1,0,0,0,0,0,0,0,0,0
0,0.12245977012444692,201.8923455988749,9.864219379455916,6.073625473739387,686,3578.1854646435404,3300,33.02722702278072,1,0,0,1,0,0,0,0,0,0
1,0.1183,119.29,10.46310334,13.92,712,1770.0,800,15.1,0,0,0,1,0,0,0,0,0,0
1,0.1340245308574195,135.56497219005325,9.799759481207417,17.08347818682401,667,2970.2631379421964,5614,85.22486095026628,1,0,0,1,0,0,0,0,0,0
1,0.1607,879.85,11.77528973,19.62,697,8910.041667,61165,91.3,0,0,0,0,1,0,0,0,0,0
1,0.1411,198.53,11.35040654,4.62,687,2010.0,6419,45.5,0,0,0,0,0,1,0,0,0,0
1,0.1322,219.71,10.59663473,8.64,757,3209.958333,6770,18.8,6,0,0,1,0,0,0,0,0,0
1,0.1379,170.38,10.43857643,5.69,692,5159.958333,445,89.0,2,0,0,0,0,1,0,0,0,0
1,0.1632,141.26,10.57131693,9.72,667,2370.041667,10490,96.2,1,0,0,0,0,1,0,0,0,0
1,0.10262492384642374,299.9780601203936,10.869003233776134,4.311219393098919,708,1642.3971191978385,3875,46.723060108225766,0,0,0,0,0,1,0,0,0,0
1,0.11174743040783697,380.8870563897435,10.97977256031163,12.87846457583082,727,5065.997232589664,23057,68.7874920860892,0,0,0,0,0,1,0,0,0,0
1,0.1287,201.8,10.858999,6.3,682,10320.0,9339,33.2,2,1,0,0,1,0,0,0,0,0
1,0.0963,320.95,11.00209984,11.24,742,5790.0,3649,33.8,2,0,0,0,1,0,0,0,0,0
1,0.133352470995341,292.4042194760971,10.951131936485966,17.325925540105157,680,4637.97912971336,29906,58.30885078947953,1,0,0,0,0,1,0,0,0,0
