credit.policy,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.bal,revol.util,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid,purpose_all_other,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_major_purchase,purpose_small_business
1,0.1189,829.1,11.35040654,19.48,737,5639.958333,28854,52.1,0,0,0,0,0,0,1,0,0,0,0
1,0.1071,228.22,11.08214255,14.29,707,2760.0,33623,76.7,0,0,0,0,0,1,0,0,0,0,0
1,0.1357,366.86,10.37349118,11.63,682,4710.0,3511,25.6,1,0,0,0,0,0,1,0,0,0,0
1,0.1008,162.34,11.35040654,8.1,712,2699.958333,33667,73.2,1,0,0,0,0,0,1,0,0,0,0
1,0.1426,102.92,11.29973224,14.97,667,4066.0,4740,39.5,0,1,0,0,0,1,0,0,0,0,0
1,0.0788,125.13,11.90496755,16.98,727,6120.041667,50807,51.0,0,0,0,0,0,1,0,0,0,0,0
1,0.1114,131.22,11.00209984,11.08,722,5116.0,24220,68.6,0,0,0,1,1,0,0,0,0,0,0
1,0.1221,84.12,10.20359214,10.0,707,2730.041667,5630,23.0,1,0,0,0,0,0,1,0,0,0,0
1,0.1324,253.58,11.83500896,9.16,662,4298.0,5122,18.2,2,1,0,0,0,0,1,0,0,0,0
1,0.0859,316.11,10.93310697,15.49,767,6519.958333,6068,16.7,0,0,0,0,0,0,1,0,0,0,0
1,0.0863,209.54,9.487972109,9.73,727,1559.958333,6282,44.6,0,0,0,0,0,0,1,0,0,0,0
1,0.1317,77.69,10.52277288,2.26,672,3895.958333,2211,88.4,0,0,0,0,1,0,0,0,0,0,0
1,0.0894,476.58,11.60823564,7.07,797,6510.958333,7586,52.7,1,0,0,0,0,1,0,0,0,0,0
1,0.1039,584.12,10.49127422,3.8,712,2760.0,8311,59.8,0,0,0,0,0,0,1,0,0,0,0
1,0.08,188.02,11.22524339,16.08,772,4888.958333,29797,23.2,1,0,0,0,1,0,0,0,0,0,0
1,0.0863,474.42,10.81977828,2.59,797,11951.0,5656,27.6,0,0,0,0,1,0,0,0,0,0,0
1,0.1355,339.6,11.51292546,7.94,662,1939.958333,21162,57.7,0,0,0,0,0,1,0,0,0,0,0
1,0.0788,484.85,11.73606902,7.05,782,5640.041667,16931,34.6,1,0,0,0,0,1,0,0,0,0,0
1,0.0743,155.38,11.08214255,0.28,802,4649.958333,1576,5.7,1,0,0,0,1,0,0,0,0,0,0
1,0.1375,255.43,9.998797732,14.29,662,1318.958333,4175,51.5,0,1,0,0,0,0,1,0,0,0,0
1,0.0743,155.38,12.20607265,0.28,772,4516.958333,3164,13.7,0,0,0,0,1,0,0,0,0,0,0
1,0.0743,155.38,12.20607265,3.72,812,6778.958333,85607,0.7,0,0,0,0,1,0,0,0,0,0,0
1,0.0807,156.84,11.51292546,2.3,742,3148.958333,9698,19.4,0,0,0,0,0,0,1,0,0,0,0
1,0.1028,275.38,9.798127037,6.4,692,7469.958333,8847,26.9,1,1,0,0,0,1,0,0,0,0,0
1,0.087,158.3,11.22524339,15.55,757,4770.0,66033,23.0,0,0,0,0,0,1,0,0,0,0,0
1,0.0743,155.38,11.46163217,3.83,772,2535.0,3660,6.8,0,0,0,0,1,0,0,0,0,0,0
1,0.0743,155.38,11.35040654,0.31,787,3540.0,216,0.6,0,0,0,0,0,1,0,0,0,0,0
1,0.0996,161.25,10.77895629,8.03,707,4320.0,28329,48.6,1,0,0,0,0,0,1,0,0,0,0
1,0.0743,155.38,11.69524702,2.29,777,3540.0,8379,16.9,0,0,0,0,0,0,1,0,0,0,0
1,0.1122,164.23,10.30895266,18.64,702,5190.0,15840,47.1,0,0,0,0,0,1,0,0,0,0,0
1,0.0838,167.02,11.21182037,14.37,797,5610.958333,6844,14.4,0,0,0,0,0,1,0,0,0,0,0
1,0.0838,160.72,10.37349118,14.78,772,4379.0,4737,23.9,0,0,0,0,1,0,0,0,0,0,0
1,0.0901,159.03,11.19821472,9.96,722,3089.958333,23489,37.6,0,0,0,0,0,1,0,0,0,0,0
1,0.0743,178.69,11.73606902,0.27,792,7488.958333,2817,10.2,0,0,0,0,0,0,1,0,0,0,0
1,0.0743,155.38,10.71441777,1.12,782,5807.0,1783,0.0,1,0,0,0,0,1,0,0,0,0,0
1,0.1596,94.88,10.86283777,12.57,627,1409.0,3075,92.3,1,0,0,0,0,0,1,0,0,0,0
1,0.1154,39.6,9.903487553,2.04,662,1139.0,1153,75.8,2,0,0,0,0,1,0,0,0,0,0
1,0.1343,678.08,11.88448902,10.15,682,4209.958333,41674,74.1,0,0,0,1,0,1,0,0,0,0,0
1,0.1249,401.37,11.22524339,15.0,682,4479.0,43039,93.4,3,0,0,0,0,1,0,0,0,0,0
1,0.0964,205.45,11.00209984,7.72,712,2293.958333,3362,69.3,0,0,0,0,1,0,0,0,0,0,0
1,0.0743,155.38,10.59663473,2.55,772,8189.958333,2562,14.0,2,0,0,0,1,0,0,0,0,0,0
1,0.1028,113.39,9.903487553,1.5,682,1410.0,1882,32.4,0,0,0,0,1,0,0,0,0,0,0
1,0.0807,109.79,11.49272276,8.52,752,4979.958333,6432,6.0,0,1,0,0,0,1,0,0,0,0,0
1,0.1059,32.55,10.43382164,14.47,687,1110.0,4485,36.9,1,0,0,1,1,0,0,0,0,0,0
1,0.0996,112.87,11.26446411,11.06,702,4979.958333,16310,20.5,0,1,0,0,1,0,0,0,0,0,0
1,0.0964,160.51,11.77528973,8.55,712,5940.0,20969,40.2,0,0,0,0,0,0,1,0,0,0,0
1,0.1375,340.57,10.46310334,17.38,707,2699.958333,22213,65.9,0,0,0,0,0,0,1,0,0,0,0
1,0.0743,155.38,11.15625052,4.56,812,9809.0,813,1.0,0,0,0,0,0,1,0,0,0,0,0
1,0.0996,257.99,10.77895629,15.13,722,2640.0,11289,47.8,3,0,0,0,0,0,1,0,0,0,0
1,0.087,63.32,11.15625052,6.07,712,2550.0,5967,19.8,1,0,0,0,0,1,0,0,0,0,0
1,0.1091,130.79,9.798127037,18.0,707,2192.0,5533,79.6,1,0,0,0,1,0,0,0,0,0,0
1,0.0775,93.67,10.81977828,5.35,762,8370.0,21050,0.7,0,0,0,0,1,0,0,0,0,0,0
1,0.087,88.65,11.69524702,15.0,742,3026.0,8155,14.9,1,0,0,0,1,0,0,0,0,0,0
1,0.0964,128.41,11.51292546,15.0,722,3026.0,8155,14.9,1,0,0,0,1,0,0,0,0,0,0
1,0.1217,179.8,10.46310334,7.1,662,2944.0,2040,36.2,2,0,0,0,0,0,1,0,0,0,0
1,0.1533,444.05,11.00209984,19.52,667,2700.958333,33074,68.8,2,0,0,0,0,1,0,0,0,0,0
1,0.0775,124.89,11.03165864,3.46,747,2519.0,1918,17.1,0,0,0,0,1,0,0,0,0,0,0
